"R","Points:0","Points:1","Points:2"
1,72.394,50.215,1
1,53.681,17.795,1
1,67.408,80.693,1
1,47.438,46.475,1
1,75.985,35.365,1
1,60.206,77.257,1
1,90.831,57.938,1
1,33.693,31.08,1
1,68.225,60.665,1
1,68.591,15.347,1
1,63.018,70.387,1
1,80.915,45.23,1
1,35.198,25.775,1
1,31.344,34.149,1
1,81.563,75.938,1
1,47.165,55.01,1
1,66.615,30.37,1
1,49.897,12.188,1
1,52.457,39.583,1
1,77.594,69.186,1
1,68.162,22.986,1
1,84.428,37.174,1
1,42.988,65.332,1
1,63.915,53.709,1
1,44.611,20.948,1
1,71.967,83.832,1
1,56.583,49.968,1
1,81.579,38.797,1
1,56.307,80.315,1
1,41.138,34.465,1
1,73.006,64.11,1
1,72.394,50.215,51
1,53.681,17.795,51
1,67.408,80.693,51
1,47.438,46.475,51
1,75.985,35.365,51
1,60.206,77.257,51
1,90.831,57.938,51
1,33.693,31.08,51
1,68.225,60.665,51
1,68.591,15.347,51
1,63.018,70.387,51
1,80.915,45.23,51
1,35.198,25.775,51
1,31.344,34.149,51
1,81.563,75.938,51
1,47.165,55.01,51
1,66.615,30.37,51
1,49.897,12.188,51
1,52.457,39.583,51
1,77.594,69.186,51
1,68.162,22.986,51
1,84.428,37.174,51
1,42.988,65.332,51
1,63.915,53.709,51
1,44.611,20.948,51
1,71.967,83.832,51
1,56.583,49.968,51
1,81.579,38.797,51
1,56.307,80.315,51
1,41.138,34.465,51
1,73.006,64.11,51
1,72.394,50.215,101
1,53.681,17.795,101
1,67.408,80.693,101
1,47.438,46.475,101
1,75.985,35.365,101
1,60.206,77.257,101
1,90.831,57.938,101
1,33.693,31.08,101
1,68.225,60.665,101
1,68.591,15.347,101
1,63.018,70.387,101
1,80.915,45.23,101
1,35.198,25.775,101
1,31.344,34.149,101
1,81.563,75.938,101
1,47.165,55.01,101
1,66.615,30.37,101
1,49.897,12.188,101
1,52.457,39.583,101
1,77.594,69.186,101
1,68.162,22.986,101
1,84.428,37.174,101
1,42.988,65.332,101
1,63.915,53.709,101
1,44.611,20.948,101
1,71.967,83.832,101
1,56.583,49.968,101
1,81.579,38.797,101
1,56.307,80.315,101
1,41.138,34.465,101
1,73.006,64.11,101
